PS E:\Single_frame_smile> python e:\Single_frame_smile\Analysis\analysis2-12\extract_window.py   --dat "E:\Matsuda_data\输出\output20251008.dat"   --src "E:\chrome-downloads\chrome-downloads\20251008\DetectedFaces\20251008\0\0"   --out "E:\Matsuda_data\2-12meeting\output"
[55366-55453] copied=88, missing=0
[55456-56147] copied=690, missing=2
[56156-56494] copied=246, missing=93
[58452-58619] copied=168, missing=0
[59385-59500] copied=111, missing=5
[59568-59746] copied=177, missing=2
[59743-59958] copied=216, missing=0
[60262-60520] copied=259, missing=0
[61073-61318] copied=234, missing=12
[61916-62127] copied=212, missing=0
[62388-62505] copied=118, missing=0
[63105-63265] copied=161, missing=0
[68100-68332] copied=232, missing=1
[68582-68824] copied=243, missing=0
[75329-75506] copied=178, missing=0
