method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodA,polite,13,3,0.03635816648602486,0.3151579797267914
methodA,polite,13,4,0.005889803636819124,0.4199666380882263
methodA,polite,13,5,0.054875221103429794,0.49311205744743347
methodA,polite,13,6,0.07924092561006546,0.5318560600280762
methodA,polite,13,7,0.13458135724067688,0.5534682869911194
methodA,polite,13,8,0.1559794396162033,0.5450705289840698
methodA,polite,13,9,0.16307559609413147,0.5578864216804504
methodA,polite,13,10,0.16730649769306183,0.5661067366600037
methodA,polite,13,11,0.161794975399971,0.5888538956642151
methodA,polite,13,12,0.1439027488231659,0.6867111921310425
methodA,polite,13,13,0.12460961937904358,0.6574743986129761
methodA,polite,13,14,0.11292266100645065,0.6835787296295166
methodA,polite,13,15,0.13994990289211273,0.7319738864898682
methodA,polite,13,16,0.16984181106090546,0.7624436616897583
methodA,polite,13,17,0.18802928924560547,0.771016001701355
methodA,polite,13,18,0.1848287433385849,0.7592940330505371
methodA,polite,13,19,0.1762148141860962,0.7614972591400146
methodA,polite,15,0,0.0,0.0
methodA,polite,15,1,0.0036773704923689365,0.2110132873058319
methodA,polite,15,2,0.022620605304837227,0.2783060669898987
methodA,polite,15,3,-0.0106969540938735,0.34838858246803284
methodA,polite,15,4,-0.005133063532412052,0.4176254868507385
methodA,polite,15,5,0.13662809133529663,0.9879353046417236
methodA,polite,15,6,0.05857833847403526,0.678055465221405
methodA,polite,15,7,0.04150743409991264,0.5979959964752197
methodA,polite,15,8,-0.005128085613250732,0.6160473227500916
methodA,polite,15,9,0.005006441846489906,0.66766357421875
methodA,polite,15,10,-0.02130129560828209,0.838511049747467
methodA,polite,15,11,0.06103125587105751,0.9295377731323242
methodA,polite,15,12,0.2598705291748047,1.108901023864746
methodA,polite,15,13,0.30500200390815735,1.0467138290405273
methodA,polite,15,14,0.41276031732559204,1.1449569463729858
methodA,polite,15,15,0.4038998782634735,1.2140333652496338
methodA,polite,15,16,0.41742148995399475,1.274847149848938
methodA,polite,15,17,0.4096510410308838,1.2990375757217407
methodA,polite,15,18,0.33208000659942627,1.1631479263305664
methodA,polite,15,19,0.21810531616210938,0.862643301486969
methodA,polite,16,0,0.0,0.0
methodA,polite,16,1,-0.03191819787025452,0.34334859251976013
methodA,polite,16,2,-0.08931384235620499,0.4712299406528473
methodA,polite,16,3,-0.0824422612786293,0.7663161158561707
methodA,polite,16,4,-0.061853256076574326,0.7001014947891235
methodA,polite,16,5,-0.04381167143583298,0.7427585124969482
methodA,polite,16,6,0.05019037798047066,0.8440667986869812
methodA,polite,16,7,0.10678503662347794,0.8523756861686707
methodA,polite,16,8,0.19218112528324127,0.9961186051368713
methodA,polite,16,9,0.14878658950328827,0.9780808091163635
methodA,polite,16,10,0.3158436715602875,1.1239128112792969
methodA,polite,16,11,0.27168017625808716,0.983498215675354
methodA,polite,16,12,0.37320706248283386,1.0617423057556152
methodA,polite,16,13,0.3511052429676056,1.1072341203689575
methodA,polite,16,14,0.3229314684867859,1.1760834455490112
methodA,polite,16,15,0.25767865777015686,1.056307077407837
methodA,polite,16,16,0.25329098105430603,1.0885162353515625
methodA,polite,16,17,0.06997596472501755,1.1814775466918945
methodA,polite,16,18,0.21285347640514374,1.1062555313110352
methodA,polite,16,19,0.2934868335723877,1.0447250604629517
methodA,polite,18,0,0.0,0.0
methodA,polite,18,1,-0.04575544223189354,0.40397557616233826
methodA,polite,18,2,-0.007719377055764198,0.320101261138916
methodA,polite,18,3,-0.009826600551605225,0.39430883526802063
methodA,polite,18,4,0.04148956760764122,0.4080311954021454
methodA,polite,18,5,0.07050499320030212,0.7358255982398987
methodA,polite,18,6,0.10210788249969482,0.9981713891029358
methodA,polite,18,7,0.1283189058303833,1.0200016498565674
methodA,polite,18,8,0.1771070957183838,1.0435876846313477
methodA,polite,18,9,0.15455034375190735,1.142747163772583
methodA,polite,18,10,0.09496262669563293,1.029466986656189
methodA,polite,18,11,0.16014039516448975,1.1052254438400269
methodA,polite,18,12,0.35515296459198,1.284050703048706
methodA,polite,18,13,0.4624004065990448,1.2598119974136353
methodA,polite,18,14,0.5176914930343628,1.4965662956237793
methodA,polite,18,15,0.4311549663543701,1.4304227828979492
methodA,polite,18,16,0.47087836265563965,1.2456570863723755
methodA,polite,18,17,0.4078291952610016,1.3194377422332764
methodA,polite,18,18,0.35693976283073425,1.1497265100479126
methodA,polite,18,19,0.321463018655777,1.1928831338882446
methodA,polite,19,0,0.0,0.0
methodA,polite,19,1,0.09322628378868103,0.3630906641483307
methodA,polite,19,2,0.18472278118133545,0.6254433393478394
methodA,polite,19,3,0.11410591006278992,0.7307275533676147
methodA,polite,19,4,0.1575818508863449,0.6894155144691467
methodA,polite,19,5,0.118925079703331,0.6725896596908569
methodA,polite,19,6,0.13272985816001892,0.5961707830429077
methodA,polite,19,7,0.021016495302319527,0.7863988876342773
methodA,polite,19,8,0.08086033910512924,0.7053924798965454
methodA,polite,19,9,0.23078729212284088,0.8232449293136597
methodA,polite,19,10,0.24288831651210785,1.028767466545105
methodA,polite,19,11,0.35877126455307007,1.2385978698730469
methodA,polite,19,12,0.4413479268550873,1.2593215703964233
methodA,polite,19,13,0.47503089904785156,1.372279405593872
methodA,polite,19,14,0.646943211555481,1.0426263809204102
methodA,polite,19,15,0.698861837387085,0.8962613344192505
methodA,polite,19,16,0.6867651343345642,1.0492439270019531
methodA,polite,19,17,0.6516126990318298,0.9297641515731812
methodA,polite,19,18,0.5819729566574097,0.7531536221504211
methodA,polite,19,19,0.5837312936782837,0.9273549914360046
methodA,polite,2,0,0.0,0.0
methodA,polite,2,1,0.043785497546195984,0.3006393313407898
methodA,polite,2,2,-0.022912979125976562,0.4955751597881317
methodA,polite,2,3,-0.040041424334049225,0.5925805568695068
methodA,polite,2,4,-0.08102752268314362,0.6794459223747253
methodA,polite,2,5,-0.039346568286418915,0.7687567472457886
methodA,polite,2,6,0.05569413676857948,0.9609054327011108
methodA,polite,2,7,0.048223454505205154,0.9934453368186951
methodA,polite,2,8,0.12339584529399872,1.0085524320602417
methodA,polite,2,9,0.10106393694877625,1.0580259561538696
methodA,polite,2,10,0.09608568996191025,1.0914313793182373
methodA,polite,2,11,0.023735610768198967,0.9221093058586121
methodA,polite,2,12,-0.11067812889814377,0.8290998935699463
methodA,polite,2,13,-0.04623036086559296,0.6969162821769714
methodA,polite,2,14,-0.0367882139980793,0.6808621287345886
methodA,polite,2,15,0.0037789209745824337,0.6891561150550842
methodA,polite,2,16,0.041111595928668976,0.712013840675354
methodA,polite,2,17,0.010904444381594658,0.6492979526519775
methodA,polite,2,18,0.028161263093352318,0.7397181391716003
methodA,polite,2,19,0.0023002566304057837,0.7200146317481995
methodA,polite,21,0,0.0,0.0
methodA,polite,21,1,-0.01147577352821827,0.19500574469566345
methodA,polite,21,2,0.013429414480924606,0.29594844579696655
methodA,polite,21,3,-0.0008971928618848324,0.39818453788757324
methodA,polite,21,4,-0.10281349718570709,0.6015331149101257
methodA,polite,21,5,-0.0023816002067178488,0.9315852522850037
methodA,polite,21,6,-0.039893388748168945,0.9620078206062317
methodA,polite,21,7,0.024688532575964928,1.0851134061813354
methodA,polite,21,8,0.10768722742795944,1.0037612915039062
methodA,polite,21,9,0.12680234014987946,0.9822574257850647
methodA,polite,21,10,0.01456878986209631,1.0019195079803467
methodA,polite,21,11,-0.03416730463504791,0.8334416151046753
methodA,polite,21,12,-0.024098128080368042,0.8193073272705078
methodA,polite,21,13,-0.0032540392130613327,0.7916138768196106
methodA,polite,21,14,-0.06605179607868195,0.7872007489204407
methodA,polite,21,15,-0.0573696494102478,0.7016503214836121
methodA,polite,21,16,-0.06441711634397507,0.6706784963607788
methodA,polite,21,17,-0.14398203790187836,0.6532894968986511
methodA,polite,21,18,-0.09173962473869324,0.5340030789375305
methodA,polite,21,19,-0.14172613620758057,0.4880547821521759
methodA,polite,22,0,0.0,0.0
methodA,polite,22,1,0.029270131140947342,0.34279897809028625
methodA,polite,22,2,0.14669738709926605,0.4620209038257599
methodA,polite,22,3,0.16682909429073334,0.6815500855445862
methodA,polite,22,4,0.14315815269947052,0.6105618476867676
methodA,polite,22,5,0.07461167126893997,0.6258514523506165
methodA,polite,22,6,0.08157134801149368,0.5484066605567932
methodA,polite,22,7,0.06536087393760681,0.594529926776886
methodA,polite,22,8,0.11967013031244278,0.617719829082489
