method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,ambiguous,polite,10,13,0.4970988929271698
methodA,ambiguous,polite,10,14,0.46986714005470276
methodA,ambiguous,polite,10,15,0.4560309052467346
methodA,ambiguous,polite,10,16,0.45455384254455566
methodA,ambiguous,polite,10,17,0.455045610666275
methodA,ambiguous,polite,10,18,0.48868852853775024
methodA,ambiguous,polite,10,19,0.47791236639022827
methodA,polite,polite,11,0,0.06506463885307312
methodA,polite,polite,11,1,0.04968966916203499
methodA,polite,polite,11,2,0.1812460571527481
methodA,polite,polite,11,3,0.1959337592124939
methodA,polite,polite,11,4,0.2524726092815399
methodA,polite,polite,11,5,0.2809983491897583
methodA,polite,polite,11,6,0.3287453353404999
methodA,polite,polite,11,7,0.4508360028266907
methodA,polite,polite,11,8,0.41538500785827637
methodA,polite,polite,11,9,0.4068912863731384
methodA,polite,polite,11,10,0.36395251750946045
methodA,polite,polite,11,11,0.32342812418937683
methodA,polite,polite,11,12,0.3699541687965393
methodA,polite,polite,11,13,0.3580916225910187
methodA,polite,polite,11,14,0.3712151348590851
methodA,polite,polite,11,15,0.3743196427822113
methodA,polite,polite,11,16,0.3954744338989258
methodA,polite,polite,11,17,0.3273453414440155
methodA,polite,polite,11,18,0.3177376687526703
methodA,polite,polite,11,19,0.3036729097366333
methodA,truesmile,polite,11,0,0.11136162281036377
methodA,truesmile,polite,11,1,0.10084499418735504
methodA,truesmile,polite,11,2,0.22484079003334045
methodA,truesmile,polite,11,3,0.2723141014575958
methodA,truesmile,polite,11,4,0.3820524215698242
methodA,truesmile,polite,11,5,0.4359625577926636
methodA,truesmile,polite,11,6,0.4936199486255646
methodA,truesmile,polite,11,7,0.5773853063583374
methodA,truesmile,polite,11,8,0.5720120668411255
methodA,truesmile,polite,11,9,0.5900895595550537
methodA,truesmile,polite,11,10,0.5623813271522522
methodA,truesmile,polite,11,11,0.5196083784103394
methodA,truesmile,polite,11,12,0.5551323890686035
methodA,truesmile,polite,11,13,0.5291961431503296
methodA,truesmile,polite,11,14,0.5446560382843018
methodA,truesmile,polite,11,15,0.5618202090263367
methodA,truesmile,polite,11,16,0.5530438423156738
methodA,truesmile,polite,11,17,0.5408347249031067
methodA,truesmile,polite,11,18,0.5539655685424805
methodA,truesmile,polite,11,19,0.5548007488250732
