"video_filename","total_frames","fps","frame_index_base"
"202611114 (2)_part001_start000290s_end000590s.MP4","18025","59.94006","0"
"202611114 (2)_part002_start000580s_end000880s.MP4","18008","59.94006","0"
"202611114 (2)_part003_start000870s_end001170s.MP4","17990","59.94006","0"
"202611114 (2)_part004_start001160s_end001460s.MP4","18033","59.94006","0"
"202611114 (2)_part005_start001450s_end001730s.MP4","16800","59.94006","0"
"202611114 (3)_part000_start000000s_end000300s.MP4","17983","59.94006","0"
"202611114 (3)_part001_start000290s_end000590s.MP4","18025","59.94006","0"
"202611114 (3)_part002_start000580s_end000880s.MP4","18008","59.94006","0"
"202611114 (3)_part003_start000870s_end001170s.MP4","17990","59.94006","0"
"202611114 (3)_part004_start001160s_end001460s.MP4","18033","59.94006","0"
"202611114 (3)_part005_start001450s_end001730s.MP4","16800","59.94006","0"
"202611114 (4).MP4","10346","59.94006","0"
"GX010230_part000_start000000s_end000300s.MP4","8992","29.97003","0"
"GX010230_part001_start000290s_end000590s.MP4","9013","29.97003","0"
"GX010230_part002_start000580s_end000731s.MP4","4549","29.97003","0"
"GX010231_part000_start000000s_end000300s.MP4","8992","29.97003","0"
"GX010231_part001_start000290s_end000590s.MP4","9013","29.97003","0"
"GX010231_part002_start000580s_end000880s.MP4","9004","29.97003","0"
"GX010231_part003_start000870s_end001154s.MP4","8525","29.97003","0"
"GX010265_part000_start000000s_end000300s.MP4","17983","59.94006","0"
"GX010265_part001_start000290s_end000590s.MP4","18025","59.94006","0"
"GX010265_part002_start000580s_end000880s.MP4","18008","59.94006","0"
"GX010265_part003_start000870s_end001170s.MP4","17990","59.94006","0"
"GX010265_part004_start001160s_end001460s.MP4","18033","59.94006","0"
"GX010265_part005_start001450s_end001750s.MP4","18016","59.94006","0"
"GX010265_part006_start001740s_end001794s.MP4","3240","59.94006","0"
"GX010266_part000_start000000s_end000300s.MP4","17983","59.94006","0"
"GX010266_part001_start000290s_end000442s.MP4","9146","59.94006","0"
"GX010268_part000_start000000s_end000300s.MP4","17983","59.94006","0"
"GX010268_part001_start000290s_end000590s.MP4","18025","59.94006","0"
"GX010268_part002_start000580s_end000880s.MP4","18008","59.94006","0"
"GX010268_part003_start000870s_end001170s.MP4","17990","59.94006","0"
"GX010268_part004_start001160s_end001263s.MP4","6233","59.94006","0"
"GX010269.MP4","4300","59.94006","0"
"GX010270.MP4","4303","59.94006","0"
"GX020265.MP4","3123","59.94006","0"
