method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodB,polite,15,9,0.05207287520170212,0.5112791061401367
methodB,polite,15,10,-0.004320372361689806,0.6456071138381958
methodB,polite,15,11,0.07088831067085266,0.7135055065155029
methodB,polite,15,12,0.16285282373428345,0.8614018559455872
methodB,polite,15,13,0.18505902588367462,0.8185176849365234
methodB,polite,15,14,0.29822391271591187,0.8880711197853088
methodB,polite,15,15,0.15855009853839874,0.9719693064689636
methodB,polite,15,16,0.24199175834655762,1.0037707090377808
methodB,polite,15,17,0.2371269017457962,1.0212576389312744
methodB,polite,15,18,0.18876796960830688,0.9117273688316345
methodB,polite,15,19,0.15411151945590973,0.6673179268836975
methodB,polite,16,0,0.0,0.0
methodB,polite,16,1,-0.06462711095809937,0.257431298494339
methodB,polite,16,2,-0.05711482837796211,0.3647244870662689
methodB,polite,16,3,-0.028109412640333176,0.5925812125205994
methodB,polite,16,4,-0.040374334901571274,0.5394679307937622
methodB,polite,16,5,-0.055589817464351654,0.5700007081031799
methodB,polite,16,6,-0.06330941617488861,0.647750735282898
methodB,polite,16,7,0.009001649916172028,0.6611523628234863
methodB,polite,16,8,0.05649217218160629,0.7788190245628357
methodB,polite,16,9,0.04102981463074684,0.7603967189788818
methodB,polite,16,10,0.09819433093070984,0.893220067024231
methodB,polite,16,11,0.0625368282198906,0.7828701138496399
methodB,polite,16,12,0.06443323194980621,0.863854706287384
methodB,polite,16,13,0.015336558222770691,0.8939439058303833
methodB,polite,16,14,0.053676947951316833,0.9372172355651855
methodB,polite,16,15,-0.051907699555158615,0.8352846503257751
methodB,polite,16,16,-0.040314555168151855,0.8592846393585205
methodB,polite,16,17,-0.0869399905204773,0.9068349003791809
methodB,polite,16,18,-0.1033167690038681,0.8609412312507629
methodB,polite,16,19,0.009190580807626247,0.8352163434028625
methodB,polite,18,0,0.0,0.0
methodB,polite,18,1,0.0076086875051259995,0.3128410577774048
methodB,polite,18,2,0.04929252341389656,0.24147826433181763
methodB,polite,18,3,0.04555248096585274,0.3001622259616852
methodB,polite,18,4,0.049056366086006165,0.31185171008110046
methodB,polite,18,5,0.03301570564508438,0.5680102109909058
methodB,polite,18,6,0.09058632701635361,0.7669845223426819
methodB,polite,18,7,0.0861828625202179,0.7865900993347168
methodB,polite,18,8,0.09663515537977219,0.8089979290962219
methodB,polite,18,9,0.06960427016019821,0.8848625421524048
