method,metric_type,class,anchor_class,time_index,mean,std,median,q1,q3
methodB,difference_norm,polite,ambiguous,1,0.11098831782980663,0.04607030739306785,0.09431613236665726,0.08224738389253616,0.13199642300605774
methodB,difference_norm,polite,ambiguous,2,0.20945059326363774,0.07851387435430462,0.20155435800552368,0.14732715487480164,0.25494152307510376
methodB,difference_norm,polite,ambiguous,3,0.3083972749186725,0.10016979967149077,0.28461578488349915,0.24163784086704254,0.36587613821029663
methodB,difference_norm,polite,ambiguous,4,0.36043408440380564,0.10008099724835133,0.35099557042121887,0.2787397801876068,0.43129631876945496
methodB,difference_norm,polite,ambiguous,5,0.40808839696209603,0.10095391219356378,0.3925398588180542,0.32807961106300354,0.4688798189163208
methodB,difference_norm,polite,ambiguous,6,0.41659997658031744,0.09343764597863356,0.4137740433216095,0.3467363715171814,0.4833541810512543
methodB,difference_norm,polite,ambiguous,7,0.5433233925482122,0.07809425620081326,0.5512828826904297,0.48588141798973083,0.5979686975479126
methodB,difference_norm,polite,ambiguous,8,0.5652284949291043,0.06458974805001173,0.557576060295105,0.5279543399810791,0.5869870781898499
methodB,difference_norm,polite,ambiguous,9,0.5210478589302157,0.09546213106641555,0.5095257759094238,0.4538887143135071,0.5439285039901733
methodB,difference_norm,polite,ambiguous,10,0.5123091703507958,0.10546324326284387,0.48841971158981323,0.43146806955337524,0.5762514472007751
methodB,difference_norm,polite,ambiguous,11,0.5272804971148328,0.10761660971129926,0.512015163898468,0.45406392216682434,0.5841484665870667
methodB,difference_norm,polite,ambiguous,12,0.524954418583614,0.10612177291427649,0.5060973167419434,0.4455370008945465,0.5904514193534851
methodB,difference_norm,polite,ambiguous,13,0.5473526069303838,0.1133639173664234,0.5272894501686096,0.4601860046386719,0.6282625794410706
methodB,difference_norm,polite,ambiguous,14,0.568872703284752,0.12106949306232098,0.5550538301467896,0.4619274139404297,0.6378750801086426
methodB,difference_norm,polite,ambiguous,15,0.5606184071157037,0.10920708254002809,0.562393069267273,0.4589981436729431,0.6494091749191284
methodB,difference_norm,polite,ambiguous,16,0.5832647339599889,0.10653409720173028,0.573563814163208,0.5026508569717407,0.6576823592185974
methodB,difference_norm,polite,ambiguous,17,0.5840942118226028,0.10495540670157494,0.5646209716796875,0.4872097671031952,0.6656914949417114
methodB,difference_norm,polite,ambiguous,18,0.5774457992576971,0.10455771101593234,0.570347249507904,0.48114532232284546,0.6620439887046814
methodB,difference_norm,polite,ambiguous,19,0.5815427325120787,0.10425608095084113,0.5532148480415344,0.494920551776886,0.6533510684967041
methodB,difference_norm,truesmile,ambiguous,0,0.24104094505310059,0.0731181004389304,0.2266630306839943,0.22093429043889046,0.23781657218933105
methodB,difference_norm,truesmile,ambiguous,1,0.22034110377232233,0.06593569161154673,0.2058398351073265,0.17527014017105103,0.2168622612953186
methodB,difference_norm,truesmile,ambiguous,2,0.40751128395398456,0.0740198515148028,0.3718341886997223,0.36088211089372635,0.44244492053985596
methodB,difference_norm,truesmile,ambiguous,3,0.5104922155539194,0.15118206964349154,0.4914165288209915,0.4016289710998535,0.5397428125143051
methodB,difference_norm,truesmile,ambiguous,4,0.5846397131681442,0.1310881998800324,0.5466220676898956,0.480087049305439,0.6401381194591522
methodB,difference_norm,truesmile,ambiguous,5,0.6242130448420843,0.1413530814899686,0.6059636175632477,0.531150758266449,0.6671477258205414
methodB,difference_norm,truesmile,ambiguous,6,0.6522414187590281,0.13726032965754664,0.649139791727066,0.596891313791275,0.7074636518955231
methodB,difference_norm,truesmile,ambiguous,7,0.7096492747465769,0.11686158551410925,0.700247198343277,0.6549283862113953,0.7800239026546478
methodB,difference_norm,truesmile,ambiguous,8,0.7284166316191355,0.11617560197947543,0.7189896702766418,0.668354943394661,0.808831050992012
methodB,difference_norm,truesmile,ambiguous,9,0.6810348083575567,0.12502412451981193,0.6840425133705139,0.6253284960985184,0.7801041901111603
methodB,difference_norm,truesmile,ambiguous,10,0.6926683932542801,0.13334010738681806,0.6885554194450378,0.6220052242279053,0.7947334200143814
methodB,difference_norm,truesmile,ambiguous,11,0.697163055340449,0.14416698686535745,0.6921205520629883,0.5976588279008865,0.7973895221948624
methodB,difference_norm,truesmile,ambiguous,12,0.6742542088031769,0.1174882142467222,0.6630853712558746,0.602197453379631,0.7474178522825241
methodB,difference_norm,truesmile,ambiguous,13,0.710695763429006,0.09416725258756253,0.6793648898601532,0.6503351032733917,0.7942638546228409
methodB,difference_norm,truesmile,ambiguous,14,0.7461611032485962,0.08032465095020017,0.7104534804821014,0.6761645376682281,0.8247676491737366
methodB,difference_norm,truesmile,ambiguous,15,0.7380644381046295,0.06074489732703398,0.7208253443241119,0.7020263820886612,0.789738655090332
methodB,difference_norm,truesmile,ambiguous,16,0.7603783706823984,0.05810220480038915,0.74410480260849,0.7093670517206192,0.8107941448688507
methodB,difference_norm,truesmile,ambiguous,17,0.8010002772013346,0.09185430049057144,0.7712327837944031,0.7168804854154587,0.8870377093553543
methodB,difference_norm,truesmile,ambiguous,18,0.7363284031550089,0.06562392257049675,0.7225742042064667,0.6918276995420456,0.755945160984993
methodB,difference_norm,truesmile,ambiguous,19,0.7577447791894277,0.07890421797250971,0.7592144012451172,0.7071449607610703,0.8015919029712677
methodB,difference_norm,ambiguous,polite,0,0.17296519737552712,0.07200155040473681,0.1490737348794937,0.12026103585958481,0.20187661796808243
methodB,difference_norm,ambiguous,polite,1,0.12117642440177777,0.07618112711285999,0.09904522448778152,0.06773355603218079,0.14709824323654175
methodB,difference_norm,ambiguous,polite,2,0.24131197537536975,0.10930619172154994,0.20208565890789032,0.16241437941789627,0.3220285475254059
methodB,difference_norm,ambiguous,polite,3,0.3286782006422679,0.13214599597064336,0.3132854402065277,0.22740427404642105,0.38934971392154694
methodB,difference_norm,ambiguous,polite,4,0.4134857660090482,0.12504159756386565,0.40438851714134216,0.32203325629234314,0.45211510360240936
methodB,difference_norm,ambiguous,polite,5,0.464034859780912,0.11261149831276984,0.46307483315467834,0.37178756296634674,0.5080714374780655
methodB,difference_norm,ambiguous,polite,6,0.505390857104902,0.10872576104775615,0.5174077153205872,0.4439898580312729,0.5770569443702698
methodB,difference_norm,ambiguous,polite,7,0.5467951474366365,0.10086048822165816,0.5368236899375916,0.4763403385877609,0.6046047508716583
methodB,difference_norm,ambiguous,polite,8,0.5648048509050299,0.09388028191085239,0.5655108690261841,0.5009676516056061,0.614822119474411
methodB,difference_norm,ambiguous,polite,9,0.5682206407741264,0.09666138258574877,0.5796886682510376,0.5116783380508423,0.619655191898346
methodB,difference_norm,ambiguous,polite,10,0.56795910331938,0.09883085100619178,0.5767496228218079,0.49629297852516174,0.6264926493167877
