method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodB,polite,polite,11,9,0.46663522720336914
methodB,polite,polite,11,10,0.4414273798465729
methodB,polite,polite,11,11,0.41501384973526
methodB,polite,polite,11,12,0.49619510769844055
methodB,polite,polite,11,13,0.46805477142333984
methodB,polite,polite,11,14,0.5071399211883545
methodB,polite,polite,11,15,0.5252725481987
methodB,polite,polite,11,16,0.543438732624054
methodB,polite,polite,11,17,0.512172281742096
methodB,polite,polite,11,18,0.4958958923816681
methodB,polite,polite,11,19,0.45473918318748474
methodB,truesmile,polite,11,0,0.1316387951374054
methodB,truesmile,polite,11,1,0.15923091769218445
methodB,truesmile,polite,11,2,0.38295337557792664
methodB,truesmile,polite,11,3,0.3815767467021942
methodB,truesmile,polite,11,4,0.5251425504684448
methodB,truesmile,polite,11,5,0.5195716619491577
methodB,truesmile,polite,11,6,0.56035977602005
methodB,truesmile,polite,11,7,0.6226369738578796
methodB,truesmile,polite,11,8,0.644079327583313
methodB,truesmile,polite,11,9,0.5745561718940735
methodB,truesmile,polite,11,10,0.5651410818099976
methodB,truesmile,polite,11,11,0.5187599658966064
methodB,truesmile,polite,11,12,0.5732417702674866
methodB,truesmile,polite,11,13,0.5805336236953735
methodB,truesmile,polite,11,14,0.6670459508895874
methodB,truesmile,polite,11,15,0.6581066250801086
methodB,truesmile,polite,11,16,0.635082483291626
methodB,truesmile,polite,11,17,0.6460233926773071
methodB,truesmile,polite,11,18,0.7310213446617126
methodB,truesmile,polite,11,19,0.6945739984512329
methodB,ambiguous,polite,11,0,0.08378063887357712
methodB,ambiguous,polite,11,1,0.05905577167868614
methodB,ambiguous,polite,11,2,0.17900770902633667
methodB,ambiguous,polite,11,3,0.19826090335845947
methodB,ambiguous,polite,11,4,0.2591065764427185
methodB,ambiguous,polite,11,5,0.31525442004203796
methodB,ambiguous,polite,11,6,0.3805614113807678
methodB,ambiguous,polite,11,7,0.5895793437957764
methodB,ambiguous,polite,11,8,0.5715267658233643
methodB,ambiguous,polite,11,9,0.525011420249939
methodB,ambiguous,polite,11,10,0.43965432047843933
methodB,ambiguous,polite,11,11,0.4015350937843323
methodB,ambiguous,polite,11,12,0.44359564781188965
methodB,ambiguous,polite,11,13,0.4360118508338928
methodB,ambiguous,polite,11,14,0.46540388464927673
methodB,ambiguous,polite,11,15,0.4589981436729431
methodB,ambiguous,polite,11,16,0.5157055258750916
methodB,ambiguous,polite,11,17,0.46721914410591125
methodB,ambiguous,polite,11,18,0.4236477017402649
methodB,ambiguous,polite,11,19,0.40826448798179626
methodB,polite,polite,13,0,0.0
methodB,polite,polite,13,1,0.0
methodB,polite,polite,13,2,0.0
methodB,polite,polite,13,3,0.0
methodB,polite,polite,13,4,0.0
methodB,polite,polite,13,5,0.0
methodB,polite,polite,13,6,0.0
methodB,polite,polite,13,7,0.0
methodB,polite,polite,13,8,0.0
methodB,polite,polite,13,9,0.0
methodB,polite,polite,13,10,0.0
methodB,polite,polite,13,11,0.0
methodB,polite,polite,13,12,0.0
methodB,polite,polite,13,13,0.0
methodB,polite,polite,13,14,0.0
methodB,polite,polite,13,15,0.0
methodB,polite,polite,13,16,0.0
methodB,polite,polite,13,17,0.0
methodB,polite,polite,13,18,0.0
methodB,polite,polite,13,19,0.0
methodB,truesmile,polite,13,0,0.15273888409137726
methodB,truesmile,polite,13,1,0.17220266163349152
methodB,truesmile,polite,13,2,0.3523041605949402
methodB,truesmile,polite,13,3,0.34108638763427734
methodB,truesmile,polite,13,4,0.43819981813430786
methodB,truesmile,polite,13,5,0.4605501592159271
methodB,truesmile,polite,13,6,0.5069247484207153
methodB,truesmile,polite,13,7,0.4963275194168091
methodB,truesmile,polite,13,8,0.5145216584205627
methodB,truesmile,polite,13,9,0.46175599098205566
methodB,truesmile,polite,13,10,0.45953211188316345
methodB,truesmile,polite,13,11,0.4424515962600708
methodB,truesmile,polite,13,12,0.5237680673599243
methodB,truesmile,polite,13,13,0.5778651833534241
methodB,truesmile,polite,13,14,0.6603063344955444
methodB,truesmile,polite,13,15,0.6321519613265991
methodB,truesmile,polite,13,16,0.6326245665550232
methodB,truesmile,polite,13,17,0.6149573922157288
methodB,truesmile,polite,13,18,0.6398901343345642
methodB,truesmile,polite,13,19,0.6228260397911072
methodB,ambiguous,polite,13,0,0.09615349024534225
methodB,ambiguous,polite,13,1,0.04294390603899956
methodB,ambiguous,polite,13,2,0.08394782245159149
methodB,ambiguous,polite,13,3,0.15417318046092987
methodB,ambiguous,polite,13,4,0.24713507294654846
methodB,ambiguous,polite,13,5,0.2609310746192932
methodB,ambiguous,polite,13,6,0.2878000736236572
methodB,ambiguous,polite,13,7,0.42221641540527344
methodB,ambiguous,polite,13,8,0.45193758606910706
methodB,ambiguous,polite,13,9,0.3519548773765564
methodB,ambiguous,polite,13,10,0.37517067790031433
methodB,ambiguous,polite,13,11,0.399332195520401
methodB,ambiguous,polite,13,12,0.41017115116119385
methodB,ambiguous,polite,13,13,0.422824501991272
methodB,ambiguous,polite,13,14,0.4425993263721466
methodB,ambiguous,polite,13,15,0.46385279297828674
methodB,ambiguous,polite,13,16,0.5099315047264099
methodB,ambiguous,polite,13,17,0.5107167959213257
methodB,ambiguous,polite,13,18,0.49603399634361267
methodB,ambiguous,polite,13,19,0.494920551776886
methodB,polite,polite,15,0,0.10325851291418076
methodB,polite,polite,15,1,0.08404674381017685
methodB,polite,polite,15,2,0.13425342738628387
methodB,polite,polite,15,3,0.1881732940673828
methodB,polite,polite,15,4,0.25302398204803467
methodB,polite,polite,15,5,0.5231451392173767
methodB,polite,polite,15,6,0.39242023229599
methodB,polite,polite,15,7,0.3678865134716034
methodB,polite,polite,15,8,0.3780773878097534
methodB,polite,polite,15,9,0.40281379222869873
methodB,polite,polite,15,10,0.46826744079589844
methodB,polite,polite,15,11,0.49674826860427856
methodB,polite,polite,15,12,0.6049457788467407
methodB,polite,polite,15,13,0.5837923288345337
methodB,polite,polite,15,14,0.6514123678207397
methodB,polite,polite,15,15,0.6573554873466492
methodB,polite,polite,15,16,0.6831988096237183
methodB,polite,polite,15,17,0.6862549185752869
methodB,polite,polite,15,18,0.6297509670257568
methodB,polite,polite,15,19,0.5593258142471313
methodB,truesmile,polite,15,0,0.12771238386631012
methodB,truesmile,polite,15,1,0.18866001069545746
methodB,truesmile,polite,15,2,0.34505021572113037
methodB,truesmile,polite,15,3,0.33545786142349243
methodB,truesmile,polite,15,4,0.47339504957199097
methodB,truesmile,polite,15,5,0.6631340980529785
methodB,truesmile,polite,15,6,0.5927489995956421
methodB,truesmile,polite,15,7,0.5797987580299377
methodB,truesmile,polite,15,8,0.6206605434417725
methodB,truesmile,polite,15,9,0.5262026786804199
methodB,truesmile,polite,15,10,0.5961524248123169
methodB,truesmile,polite,15,11,0.5872780680656433
methodB,truesmile,polite,15,12,0.6835549473762512
methodB,truesmile,polite,15,13,0.6913248300552368
methodB,truesmile,polite,15,14,0.7584176659584045
methodB,truesmile,polite,15,15,0.8279797434806824
methodB,truesmile,polite,15,16,0.796118438243866
methodB,truesmile,polite,15,17,0.835745096206665
methodB,truesmile,polite,15,18,0.7690556049346924
methodB,truesmile,polite,15,19,0.6920517086982727
methodB,ambiguous,polite,15,0,0.08513516187667847
methodB,ambiguous,polite,15,1,0.08392801135778427
methodB,ambiguous,polite,15,2,0.1348629742860794
methodB,ambiguous,polite,15,3,0.21107082068920135
methodB,ambiguous,polite,15,4,0.2731976807117462
methodB,ambiguous,polite,15,5,0.531001627445221
methodB,ambiguous,polite,15,6,0.4137740433216095
methodB,ambiguous,polite,15,7,0.5195465683937073
methodB,ambiguous,polite,15,8,0.5369957685470581
methodB,ambiguous,polite,15,9,0.4737184941768646
methodB,ambiguous,polite,15,10,0.4981977045536041
methodB,ambiguous,polite,15,11,0.512015163898468
methodB,ambiguous,polite,15,12,0.5636876821517944
methodB,ambiguous,polite,15,13,0.5640607476234436
methodB,ambiguous,polite,15,14,0.6274288892745972
methodB,ambiguous,polite,15,15,0.6545109152793884
methodB,ambiguous,polite,15,16,0.7482852935791016
methodB,ambiguous,polite,15,17,0.786762535572052
methodB,ambiguous,polite,15,18,0.7047879695892334
methodB,ambiguous,polite,15,19,0.5436422824859619
methodB,polite,polite,16,0,0.12274079769849777
